eventDate,Lon,Lat
2004-07-26T16:41:00,-123.563,38.0461
2004-07-26T16:41:00,-123.563,38.0461
2004-07-26T16:41:00,-123.563,38.0461
2004-07-26T18:18:00,-123.467652,38.0487809
2004-07-26T18:18:00,-123.467652,38.0487809
2004-07-26T18:18:00,-123.467652,38.0487809
2004-07-26T20:26:00,-123.183,38.0568
2004-07-26T20:26:00,-123.183,38.0568
2004-07-26T20:26:00,-123.183,38.0568
2004-07-27T18:15:00,-123.475,37.882
2004-07-27T18:15:00,-123.475,37.882
2004-07-27T18:15:00,-123.475,37.882
2004-07-27T18:15:00,-123.475,37.882
2004-07-27T17:23:00,-123.4276409,37.8833404
2004-07-27T17:23:00,-123.4276409,37.8833404
2004-07-27T17:23:00,-123.4276409,37.8833404
2004-07-27T17:23:00,-123.4276409,37.8833404
2004-07-27T17:23:00,-123.4276409,37.8833404
2004-07-27T16:41:00,-123.3800775,37.884643
2004-07-27T16:41:00,-123.3800775,37.884643
2004-07-27T16:41:00,-123.3800775,37.884643
2004-07-27T15:45:00,-123.2849505,37.8872483
2004-07-27T15:45:00,-123.2849505,37.8872483
2004-07-27T15:45:00,-123.2849505,37.8872483
2004-07-27T15:45:00,-123.2849505,37.8872483
2004-07-27T15:45:00,-123.2849505,37.8872483
2004-07-27T15:45:00,-123.2849505,37.8872483
2004-07-28T15:50:00,-123.1852812,37.7233976
2004-07-28T15:50:00,-123.1852812,37.7233976
2004-07-28T15:50:00,-123.1852812,37.7233976
2004-07-28T15:50:00,-123.1852812,37.7233976
2004-07-28T15:50:00,-123.1852812,37.7233976
2004-07-28T15:50:00,-123.1852812,37.7233976
2004-07-28T16:36:00,-123.1378151,37.7246041
2004-07-28T16:36:00,-123.1378151,37.7246041
2004-07-28T16:36:00,-123.1378151,37.7246041
2004-07-28T16:36:00,-123.1378151,37.7246041
2004-07-27T14:26:00,-123.095,37.8925
2004-07-27T14:26:00,-123.095,37.8925
2004-07-27T14:26:00,-123.095,37.8925
2004-07-27T14:26:00,-123.095,37.8925
2004-07-27T14:26:00,-123.095,37.8925
2004-07-28T15:17:00,-123.233,37.7221
2004-07-28T15:17:00,-123.233,37.7221
2004-07-28T15:17:00,-123.233,37.7221
2004-07-28T15:17:00,-123.233,37.7221
2004-07-28T15:17:00,-123.233,37.7221
2004-07-28T15:17:00,-123.233,37.7221
2004-07-28T15:17:00,-123.233,37.7221
2004-07-28T17:30:00,-123.042883,37.7270174
2004-07-28T17:30:00,-123.042883,37.7270174
2004-07-28T17:30:00,-123.042883,37.7270174
2004-07-28T17:30:00,-123.042883,37.7270174
2004-07-28T17:30:00,-123.042883,37.7270174
2004-07-28T17:30:00,-123.042883,37.7270174
2004-07-28T17:30:00,-123.042883,37.7270174
2004-09-21T19:30:00,-123.233,37.7221
2004-09-21T19:30:00,-123.233,37.7221
2004-09-21T19:30:00,-123.233,37.7221
2004-09-21T19:30:00,-123.233,37.7221
2004-09-21T20:08:00,-123.1852812,37.7233976
2004-09-21T20:08:00,-123.1852812,37.7233976
2004-09-21T20:08:00,-123.1852812,37.7233976
2004-09-21T20:08:00,-123.1852812,37.7233976
2004-09-21T21:00:00,-123.1378151,37.7246041
2004-09-21T21:00:00,-123.1378151,37.7246041
2004-09-21T21:00:00,-123.1378151,37.7246041
2004-09-21T22:01:00,-123.042883,37.7270174
2004-09-21T22:01:00,-123.042883,37.7270174
2004-09-21T23:55:00,-122.748,37.7343
2004-09-22T16:48:00,-123.563,38.0461
2004-09-22T16:48:00,-123.563,38.0461
2004-09-22T18:21:00,-123.467652,38.0487809
2004-09-22T18:21:00,-123.467652,38.0487809
2004-09-22T18:42:00,-123.5151749,38.0474476
2004-09-22T18:42:00,-123.5151749,38.0474476
2004-09-22T18:42:00,-123.5151749,38.0474476
2004-09-22T18:42:00,-123.5151749,38.0474476
2004-09-22T18:42:00,-123.5151749,38.0474476
2004-09-22T19:32:00,-123.3726062,38.0514476
2004-09-22T19:32:00,-123.3726062,38.0514476
2004-09-22T19:32:00,-123.3726062,38.0514476
2004-09-22T19:32:00,-123.3726062,38.0514476
2004-09-22T19:32:00,-123.3726062,38.0514476
2004-09-22T19:32:00,-123.3726062,38.0514476
2004-09-23T17:52:00,-123.475,37.882
2004-09-23T19:31:00,-123.4276409,37.8833404
2004-09-23T19:48:00,-123.3800775,37.884643
2004-09-23T19:48:00,-123.3800775,37.884643
2004-09-23T19:48:00,-123.3800775,37.884643
2004-09-23T22:18:00,-123.095,37.8925
2004-09-23T22:18:00,-123.095,37.8925
2004-10-21T18:15:00,-123.233,37.7221
2004-10-21T18:15:00,-123.233,37.7221
2004-10-21T18:15:00,-123.233,37.7221
2004-10-21T20:05:00,-123.1852812,37.7233976
2004-10-21T20:05:00,-123.1852812,37.7233976
2004-10-21T20:05:00,-123.1852812,37.7233976
2004-10-21T20:20:00,-123.1378151,37.7246041
2004-10-21T20:20:00,-123.1378151,37.7246041
2004-10-21T20:20:00,-123.1378151,37.7246041
2004-10-21T20:20:00,-123.1378151,37.7246041
2004-10-21T21:06:00,-123.042883,37.7270174
2004-10-21T21:06:00,-123.042883,37.7270174
2004-10-21T21:06:00,-123.042883,37.7270174
2004-10-22T17:12:00,-123.563,38.0461
2004-10-22T17:12:00,-123.563,38.0461
2004-10-22T17:12:00,-123.563,38.0461
2004-10-22T17:12:00,-123.563,38.0461
2004-10-22T18:58:00,-123.5151749,38.0474476
2004-10-22T18:58:00,-123.5151749,38.0474476
2004-10-22T18:58:00,-123.5151749,38.0474476
