Lon,Lat
-123.563,38.046
-123.563,38.046
-123.563,38.046
-123.467652,38.048780
-123.467652,38.048780
-123.467652,38.048780
-123.183,38.056
-123.183,38.056
-123.183,38.056
-123.475,37.88
-123.475,37.88
-123.475,37.88
-123.475,37.88
-123.4276409,37.883340
-123.4276409,37.883340
-123.4276409,37.883340
-123.4276409,37.883340
-123.4276409,37.883340
-123.3800775,37.88464
-123.3800775,37.88464
-123.3800775,37.88464
-123.2849505,37.887248
-123.2849505,37.887248
-123.2849505,37.887248
-123.2849505,37.887248
-123.2849505,37.887248
-123.2849505,37.887248
-123.1852812,37.723397
-123.1852812,37.723397
-123.1852812,37.723397
-123.1852812,37.723397
-123.1852812,37.723397
-123.1852812,37.723397
-123.1378151,37.724604
-123.1378151,37.724604
-123.1378151,37.724604
-123.1378151,37.724604
-123.095,37.892
-123.095,37.892
-123.095,37.892
-123.095,37.892
-123.095,37.892
-123.233,37.722
-123.233,37.722
-123.233,37.722
-123.233,37.722
-123.233,37.722
-123.233,37.722
-123.233,37.722
-123.042883,37.727017
-123.042883,37.727017
-123.042883,37.727017
-123.042883,37.727017
-123.042883,37.727017
-123.042883,37.727017
-123.042883,37.727017
-123.233,37.722
-123.233,37.722
-123.233,37.722
-123.233,37.722
-123.1852812,37.723397
-123.1852812,37.723397
-123.1852812,37.723397
-123.1852812,37.723397
-123.1378151,37.724604
-123.1378151,37.724604
-123.1378151,37.724604
-123.042883,37.727017
-123.042883,37.727017
-122.748,37.734
-123.563,38.046
-123.563,38.046
-123.467652,38.048780
-123.467652,38.048780
-123.5151749,38.047447
-123.5151749,38.047447
-123.5151749,38.047447
-123.5151749,38.047447
-123.5151749,38.047447
-123.3726062,38.051447
-123.3726062,38.051447
-123.3726062,38.051447
-123.3726062,38.051447
-123.3726062,38.051447
-123.3726062,38.051447
-123.475,37.88
-123.4276409,37.883340
-123.3800775,37.88464
-123.3800775,37.88464
-123.3800775,37.88464
-123.095,37.892
-123.095,37.892
-123.233,37.722
-123.233,37.722
-123.233,37.722
-123.1852812,37.723397
-123.1852812,37.723397
-123.1852812,37.723397
-123.1378151,37.724604
-123.1378151,37.724604
-123.1378151,37.724604
-123.1378151,37.724604
-123.042883,37.727017
-123.042883,37.727017
